"Section","Chapter","Role","Name","Institution, Country"
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 15: Coastal-Adaptation Technologies","Coordinating Lead Author","Richard J.T. Klein ","Potsdam Institute for Climate Impact Research (PIK), Germany "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 15: Coastal-Adaptation Technologies","Lead Author","James Aston ","South Pacific Regional Environment Programme (SPREP), Western Samoa "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 15: Coastal-Adaptation Technologies","Lead Author","Earle N. Buckley ","Coastal Technology Services, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 15: Coastal-Adaptation Technologies","Lead Author","Michele Capobianco ","Tecnomare S.p.A., Italy "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 15: Coastal-Adaptation Technologies","Lead Author","Norimi Mizutani ","Nagoya University, Japan "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 15: Coastal-Adaptation Technologies","Lead Author","Robert J. Nicholls ","Middlesex University, United Kingdom "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 15: Coastal-Adaptation Technologies","Lead Author","Patrick D. Nunn ","The University of the South Pacific, Fiji "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 15: Coastal-Adaptation Technologies","Lead Author","Sachooda Ragoonaden ","Meteorological Services, Mauritius "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 15: Coastal-Adaptation Technologies","Contributing Author","Darius J. Bartlett ","University College Cork, Ireland "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 15: Coastal-Adaptation Technologies","Contributing Author","James G. Boyd ","Coastal Services Center, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 15: Coastal-Adaptation Technologies","Contributing Author","Eugene Lecomte ","Institute for Business and Home Safety, USA "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 15: Coastal-Adaptation Technologies","Contributing Author","Xenia I. Loizidou ","Ministry of Communications and Works, Cyprus "
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 15: Coastal-Adaptation Technologies","Contributing Author","Claudio R. Volonté ","Organization of American States, USA "
,,,,
"Section II: Technology Transfer: A Sectoral Analysis","Chapter 15: Coastal-Adaptation Technologies","Review Editor","Isabelle Niang-Diop ","Université Cheikh Anta Diop, Senegal"
,,,,
"Section III: Case Studies",,"Section Coordinator","Stephen O. Andersen ","U.S. Environmental Protection Agency, USA "
"Section III: Case Studies",,"Section Coordinator","Ajay Mathur Tata ","Energy Research Institute, India "
,,,,
"Section III: Case Studies","Chapter 16: Case Studies","Coordinating Lead Author","Sukumar Devotta ","National Chemical Laboratory, India "
"Section III: Case Studies","Chapter 16: Case Studies","Coordinating Lead Author","Maithili Iyer ","University of Delaware, USA "
"Section III: Case Studies","Chapter 16: Case Studies","Coordinating Lead Author","Daniel M. Kammen ","University of California, USA "
,,,,
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Saroja Asthana ","National Chemical Laboratory, India "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","James Aston ","South Pacific Regional Environment Programme (SPREP), Samoa "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","James Boyd ","Coastal Services Center, USA "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Thomas Carlson ","University of California, USA "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Alfonso Carrasco ","ITDG, Peru "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","William Chandler Battelle ","Pacific Northwest National Laboratory, USA "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Jorge Corona ","IMAAC, Mexico "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Otto Doering ","Purdue University, USA "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Peter Du Pont ","IIEC-Asia, Bangkok "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Richard Duke ","Princeton University, USA "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Yuichi Fujimoto ","JICOP, Japan "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Yasuo Hosoya ","okyo Electric Power Company, Japan "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Hidefumi Imura ","Institute of Environmental Systems, Japan "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Arne Jacobson ","University of California, USA "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Suzana Kahn Ribeiro ","Federal University of Rio de Janeiro, Brazil "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Stefan Kessler ","INFRAS, Switzerland "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Xenia Loizidou ","Ministry of Communications and Works, Cyprus "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Stephen Magezi ","AFREPEN, Uganda "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Eric Martinot ","The World Bank, USA "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Indu Murthy ","Indian Institute of Science, India "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Teruo Okazaki ","Nippon Steel Corporation, Japan "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Gunter Pauli ","ZERI Foundation, Colombia "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","N. H. Ravindranath ","Indian Institute of Science, India "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Steve Ryder ","Princeton University, USA "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Teodoro Sanchez ","ITDG, Peru "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","P. Sudha ","Indian Institute of Science, India "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Sergey Surnin ","ARENA-ECO, Ukraine "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Jeanne Townend ","ICF Kaiser, USA "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Claudio Volonté ","Organization of American States, USA "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","James Williams ","University of California, USA "
"Section III: Case Studies","Chapter 16: Case Studies","Lead Author","Li Yue ","Chinese Academy of Agricultural Sciences, China "
,,,,
"Section III: Case Studies","Chapter 16: Case Studies","Review Editor","Rajendra Shende ","UNEP, France "
"Section III: Case Studies","Chapter 16: Case Studies","Review Editor","Othmar Schwank ","Infras, Switzerland "
,,,,
"Summary for Policymakers and Technical Summary","Additional Lead Author","Renate Christ","IPCC Secretariat, Switzerland",
"Summary for Policymakers and Technical Summary","Additional Lead Author","Ritu Kumar","Commonwealth Secretariat, United Kingdom",
"Summary for Policymakers and Technical Summary","Additional Lead Author","Jan-Willem Martens","IPCC Working Group III TSU/ The Netherlands Energy Foundation",
"Summary for Policymakers and Technical Summary","Additional Lead Author","Sascha N.M. van Rooijen","IPCC Working Group III TSU/ The Netherlands Energy Foundation",
