#,Chapter,Role,Name,"Institution, Country"
5,Climate Models - Evaluation,Contributing Author,Timothy N. Palmer,"European Centre for Medium-Range Weather Forecasts (ECMWF), United Kingdom"
5,Climate Models - Evaluation,Contributing Author,Thomas Phillips,"Lawrence Livermore National Laboratory, USA"
5,Climate Models - Evaluation,Contributing Author,Andy Pitman,"Macquarie University, Australia"
5,Climate Models - Evaluation,Contributing Author,J. Polcher,"Institut Pierre Simon Laplace (IPSL), France"
5,Climate Models - Evaluation,Contributing Author,G.L. Potter,"Lawrence Livermore National Laboratory, USA"
5,Climate Models - Evaluation,Contributing Author,Scott B. Power,"Bureau of Meteorology, Australia"
5,Climate Models - Evaluation,Contributing Author,David A. Randall,"Colorado State University, USA"
5,Climate Models - Evaluation,Contributing Author,Philip Rasch,"National Center for Atmospheric Research (NCAR), USA"
5,Climate Models - Evaluation,Contributing Author,Alan Robock,"University of Maryland, USA"
5,Climate Models - Evaluation,Contributing Author,Benjamin D. Santer,"Lawrence Livermore National Laboratory, USA"
5,Climate Models - Evaluation,Contributing Author,E. Sarachik,"University of Washington, USA"
5,Climate Models - Evaluation,Contributing Author,N. Sato,"Japan Meteorological Agency, Japan"
5,Climate Models - Evaluation,Contributing Author,A. Semtner Jr,"Naval Postgraduate School, USA"
5,Climate Models - Evaluation,Contributing Author,Julia Slingo,"Met Office, United Kingdom"
5,Climate Models - Evaluation,Contributing Author,I. Smith,"International Energy Agency, United Kingdom"
5,Climate Models - Evaluation,Contributing Author,K. Sperber,"Lawrence Livermore National Laboratory, USA"
5,Climate Models - Evaluation,Contributing Author,Ronald J. Stouffer,"National Oceanographic and Atmospheric Administration (NOAA), USA"
5,Climate Models - Evaluation,Contributing Author,M. Sugi,"National Research Institute for Earth Science & Disaster Prevention, Japan"
5,Climate Models - Evaluation,Contributing Author,J. Syktus,"Commonwealth Scientific and Industrial Research Organization (CSIRO), Australia"
5,Climate Models - Evaluation,Contributing Author,Karl E. Taylor,"Lawrence Livermore National Laboratory, USA"
5,Climate Models - Evaluation,Contributing Author,Simon Tett,"Met Office, United Kingdom"
5,Climate Models - Evaluation,Contributing Author,S. Tibaidi,"University of Bologna, Italy"
5,Climate Models - Evaluation,Contributing Author,W-C Wang,"State University of New York Albany, USA"
5,Climate Models - Evaluation,Contributing Author,W.M. Washington,"National Center for Atmospheric Research (NCAR), USA"
5,Climate Models - Evaluation,Contributing Author,B. Weare,"University of California, USA"
5,Climate Models - Evaluation,Contributing Author,D. Williamson,"National Center for Atmospheric Research (NCAR), USA"
5,Climate Models - Evaluation,Contributing Author,T. Yamagata,"University of Tokyo, Japan"
5,Climate Models - Evaluation,Contributing Author,Z. Yang,"University of Arizona, USA"
5,Climate Models - Evaluation,Contributing Author,R. Zhang,"Chinese Academy of Sciences, China"
5,Climate Models - Evaluation,Contributing Author,M. Zhang,"State University of New York Stony Brook, USA"
5,Climate Models - Evaluation,Contributing Author,Francis W. Zwiers,"Environment Canada, Canada"
,,,,
6,Climate Models – Projections for the Future,Coordinating Lead Author,A. Kattenberg,"Royal Netherlands Meteorological Institute (KNMI), The Netherlands"
,,,,
6,Climate Models – Projections for the Future,Lead Author,Filippo Giorgi,"National Center for Atmospheric Research (NCAR), USA"
6,Climate Models – Projections for the Future,Lead Author,H. Grassl,"World Meteorological Organization (WMO), Switzerland"
6,Climate Models – Projections for the Future,Lead Author,Gerald A. Meehl,"National Center for Atmospheric Research (NCAR), USA"
6,Climate Models – Projections for the Future,Lead Author,John F. B. Mitchell,"Met Office, United Kingdom"
6,Climate Models – Projections for the Future,Lead Author,Ronald J. Stouffer,"National Oceanographic and Atmospheric Administration (NOAA), USA"
6,Climate Models – Projections for the Future,Lead Author,T. Tokioka,"Japan Meteorological Agency, Japan"
6,Climate Models – Projections for the Future,Lead Author,Andrew J. Weaver,"University of Victoria, Canada"
6,Climate Models – Projections for the Future,Lead Author,Tom M.L. Wigley,"University Corporation for Atmospheric Research (UCAR), USA"
,,,,
6,Climate Models – Projections for the Future,Contributing Author,A. Barros,"Pennsylvania State University, USA"
6,Climate Models – Projections for the Future,Contributing Author,Martin Beniston,"ETH Zurich, Switzerland"
6,Climate Models – Projections for the Future,Contributing Author,George J. Boer,"Environment Canada, Canada"
6,Climate Models – Projections for the Future,Contributing Author,T.A. Buishand,"Royal Netherlands Meteorological Institute (KNMI), The Netherlands"
6,Climate Models – Projections for the Future,Contributing Author,Jens Hesselbjerg Krishna Christensen,"Danish Meteorological Institute, Denmark"
6,Climate Models – Projections for the Future,Contributing Author,Robert Colman,"Bureau of Meteorology, Australia"
6,Climate Models – Projections for the Future,Contributing Author,J. Copeland,"Colorado State University, USA"
6,Climate Models – Projections for the Future,Contributing Author,Peter M. Cox,"Met Office, United Kingdom"
6,Climate Models – Projections for the Future,Contributing Author,A. Cress,"Deutscher Wetterdienst, Germany"
6,Climate Models – Projections for the Future,Contributing Author,Ulrich Cubasch,"Deutsches Klimarechenzentrum, Germany"
6,Climate Models – Projections for the Future,Contributing Author,M. Deque,"Centre National de Recherches Meteorologiques, France"
6,Climate Models – Projections for the Future,Contributing Author,Gregory Flato,"Environment Canada, Canada"
6,Climate Models – Projections for the Future,Contributing Author,Congbin Fu,"Chinese Academy of Sciences, China"
6,Climate Models – Projections for the Future,Contributing Author,Inez Fung,"University of Victoria, Canada"
6,Climate Models – Projections for the Future,Contributing Author,J. Gaitatt,"N/A, N/A"
6,Climate Models – Projections for the Future,Contributing Author,S.J. Ghan,"Pacific Northwest National Laboratory, USA"
6,Climate Models – Projections for the Future,Contributing Author,H. Gordon,"Commonwealth Scientific and Industrial Research Organization (CSIRO), Australia"
6,Climate Models – Projections for the Future,Contributing Author,Jonathan M. Gregory,"Met Office, United Kingdom"
6,Climate Models – Projections for the Future,Contributing Author,P. Guttorp,"University of Washington, USA"
6,Climate Models – Projections for the Future,Contributing Author,Ann Henderson-Sellers,"Macquarie University, Australia"
6,Climate Models – Projections for the Future,Contributing Author,Kevin Hennessy,"Commonwealth Scientific and Industrial Research Organization (CSIRO), Australia"
6,Climate Models – Projections for the Future,Contributing Author,H. Hirakuchi,"Central Research Institute of Electric Power Industry, Japan"
6,Climate Models – Projections for the Future,Contributing Author,Greg Holland,"Bureau of Meteorology, Australia"
6,Climate Models – Projections for the Future,Contributing Author,B. Horton,"Met Office, United Kingdom"
6,Climate Models – Projections for the Future,Contributing Author,Tim Johns,"Met Office, United Kingdom"
6,Climate Models – Projections for the Future,Contributing Author,M. Kanamitsu,"W/NMC2, USA"
6,Climate Models – Projections for the Future,Contributing Author,Thomas R. Karl,"National Oceanographic and Atmospheric Administration (NOAA), USA"
6,Climate Models – Projections for the Future,Contributing Author,David J. Karoly,"Monash University, Australia"
6,Climate Models – Projections for the Future,Contributing Author,A. Keen,"Met Office, United Kingdom"
6,Climate Models – Projections for the Future,Contributing Author,T. Kittel,"National Center for Atmospheric Research (NCAR), USA"
6,Climate Models – Projections for the Future,Contributing Author,Thomas Knutson,"National Oceanographic and Atmospheric Administration (NOAA), USA"
6,Climate Models – Projections for the Future,Contributing Author,H. Koide,"Meteorological Research Institute, Japan"
6,Climate Models – Projections for the Future,Contributing Author,G. Konnen,"Royal Netherlands Meteorological Institute (KNMI), The Netherlands"
6,Climate Models – Projections for the Future,Contributing Author,Rattan Lal,"Ohio State University, USA"
6,Climate Models – Projections for the Future,Contributing Author,René Laprise,"University of Quebec at Montreal, Canada"
6,Climate Models – Projections for the Future,Contributing Author,Ruby Leung,"Pacific Northwest National Laboratory, USA"
6,Climate Models – Projections for the Future,Contributing Author,A. Lupo,"Purdue University, USA"
6,Climate Models – Projections for the Future,Contributing Author,A. Lync,"University of Tasmania, Australia"
6,Climate Models – Projections for the Future,Contributing Author,C. Ma,"University of California, USA"
6,Climate Models – Projections for the Future,Contributing Author,B. Machenhauer,"Max-Planck Institute for Meteorology, Germany"
6,Climate Models – Projections for the Future,Contributing Author,E. Maier-Reimer,"Max-Planck Institute for Meteorology, Germany"
6,Climate Models – Projections for the Future,Contributing Author,M. Marinucci,"National Center for Atmospheric Research (NCAR), USA"
6,Climate Models – Projections for the Future,Contributing Author,Bryant J. McAvaney,"Bureau of Meteorology, Australia"
6,Climate Models – Projections for the Future,Contributing Author,J.L. McGregor,"Commonwealth Scientific and Industrial Research Organization (CSIRO), Australia"
6,Climate Models – Projections for the Future,Contributing Author,Linda O. Mearns,"National Center for Atmospheric Research (NCAR), USA"
6,Climate Models – Projections for the Future,Contributing Author,N.L. Miller,"Lawrence Livermore National Laboratory, USA"
6,Climate Models – Projections for the Future,Contributing Author,James M. Murphy,"Met Office, United Kingdom"
6,Climate Models – Projections for the Future,Contributing Author,Akira Noda,"Japan Meteorological Agency, Japan"
,,,,
6,Climate Models – Projections for the Future,Contributing Author,M. Noguer,"Met Office, United Kingdom"
6,Climate Models – Projections for the Future,Contributing Author,J.M. Oberhuber,"Deutsches Klimarechenzentrum, Germany"
6,Climate Models – Projections for the Future,Contributing Author,S. Parey,"Electricite de France (EDF), France"
6,Climate Models – Projections for the Future,Contributing Author,H. Pleym,"Telemark College of Engineering, Norway"
6,Climate Models – Projections for the Future,Contributing Author,Jouni Raisanen,"University of Helsinki, Finland"
6,Climate Models – Projections for the Future,Contributing Author,David A. Randall,"Colorado State University, USA"
6,Climate Models – Projections for the Future,Contributing Author,Sarah C.B. Raper,"University of East Anglia, United Kingdom"
6,Climate Models – Projections for the Future,Contributing Author,J. Roads,"University of California San Diego, USA"
6,Climate Models – Projections for the Future,Contributing Author,Erich Roeckner,"Max-Planck Institute for Meteorology, Germany"
6,Climate Models – Projections for the Future,Contributing Author,Gary L. Russell,"National Aeronautics and Space Administration (NASA), USA"
6,Climate Models – Projections for the Future,Contributing Author,H. Sasaki,"Meteorological Research Institute, Japan"
6,Climate Models – Projections for the Future,Contributing Author,Frederick H.M. Semazzi,"North Carolina State University, USA"
6,Climate Models – Projections for the Future,Contributing Author,Catherine A. Senior,"Met Office, United Kingdom"
6,Climate Models – Projections for the Future,Contributing Author,C. Skelly,"James Cook University, Australia"
6,Climate Models – Projections for the Future,Contributing Author,K. Sperber,"Lawrence Livermore National Laboratory, USA"
6,Climate Models – Projections for the Future,Contributing Author,Karl E. Taylor,"Lawrence Livermore National Laboratory, USA"
6,Climate Models – Projections for the Future,Contributing Author,Simon Tett,"Met Office, United Kingdom"
6,Climate Models – Projections for the Future,Contributing Author,Hans von Storch,"Max-Planck Institute for Meteorology, Germany"
6,Climate Models – Projections for the Future,Contributing Author,K. Walsh,"Commonwealth Scientific and Industrial Research Organization (CSIRO), Australia"
6,Climate Models – Projections for the Future,Contributing Author,Penny Whetton,"Commonwealth Scientific and Industrial Research Organization (CSIRO), Australia"
6,Climate Models – Projections for the Future,Contributing Author,D. Wilks,"Cornell University, USA"
6,Climate Models – Projections for the Future,Contributing Author,I. Woodward,"University of Sheffield, United Kingdom"
6,Climate Models – Projections for the Future,Contributing Author,Francis W. Zwiers,"Environment Canada, Canada"
,,,,
7,Changes in Sea Level,Coordinating Lead Author,D. Warrick,"University of Waikato, New Zealand"
,,,,
7,Changes in Sea Level,Lead Author,C. Le Provost,"Institut de Mecanique de Grenoble, France"
7,Changes in Sea Level,Lead Author,M. Meier,"INSTAAR, USA"
7,Changes in Sea Level,Lead Author,Johannes Oerlemans,"University of Utrecht, The Netherlands"
7,Changes in Sea Level,Lead Author,Philip Woodworth,"Permanent Service for Mean Sea Level (PSMSL), United Kingdom"
,,,,
7,Changes in Sea Level,Contributing Author,Richard B. Alley,"Pennsylvania State University, USA"
7,Changes in Sea Level,Contributing Author,C. Bentley,"University of Wisconsin, USA"
7,Changes in Sea Level,Contributing Author,R. Bindschadler,"National Aeronautics and Space Administration (NASA), USA"
7,Changes in Sea Level,Contributing Author,R.J. Braithwaite,"University of Manchester, United Kingdom"
7,Changes in Sea Level,Contributing Author,I. Douglas,"N/A, United Kingdom"
7,Changes in Sea Level,Contributing Author,M. Dyurgerov,"Institute of Geography, Russian Federation"
7,Changes in Sea Level,Contributing Author,N. Flemming,"Institute of Oceanographic Sciences, United Kingdom"
7,Changes in Sea Level,Contributing Author,C. Genthon,"Laboratoire de Glaciologie et Géophysique de l'Environnement (LGGE), France"
7,Changes in Sea Level,Contributing Author,Vivien Gornitz,"Columbia University, USA"
7,Changes in Sea Level,Contributing Author,Jonathan M. Gregory,"Met Office, United Kingdom"
7,Changes in Sea Level,Contributing Author,Wilfreid Haeberli,"ETH Zurich, Switzerland"
7,Changes in Sea Level,Contributing Author,Philippe Huybrechts,"Alfred Wegener Institute for Polar and Marine Research, Germany"
7,Changes in Sea Level,Contributing Author,T. Johannesson,"Orkustofnun (National Energy Authority), Iceland"
,,,,
7,Changes in Sea Level,Contributing Author,U. Mikolajewicz,"Max-Planck Institute for Meteorology, Germany"
7,Changes in Sea Level,Contributing Author,Sarah C.B. Raper,"University of East Anglia, United Kingdom"
7,Changes in Sea Level,Contributing Author,Dork Sahagian,"University of New Hampshire, USA"
7,Changes in Sea Level,Contributing Author,Tom M.L. Wigley,"University Corporation for Atmospheric Research (UCAR), USA"
7,Changes in Sea Level,Contributing Author,J. De Wolde,"University of Utrecht, The Netherlands"
,,,,
8,Detection of Climate Change and Attribution of Causes,Coordinating Lead Author,Benjamin D. Santer,"Lawrence Livermore National Laboratory, USA"
,,,,
8,Detection of Climate Change and Attribution of Causes,Lead Author,Assaf Anyamba,"National Aeronautics and Space Administration (NASA), USA"
8,Detection of Climate Change and Attribution of Causes,Lead Author,T.P. Barnett,"University of California San Diego, USA"
8,Detection of Climate Change and Attribution of Causes,Lead Author,Tom M.L. Wigley,"University Corporation for Atmospheric Research (UCAR), USA"
,,,,
8,Detection of Climate Change and Attribution of Causes,Contributing Author,P. Bloomfield,"Merrill Lynch Derivative Products, USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Edward Cook,"Columbia University, USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Curt Covey,"Lawrence Livermore National Laboratory, USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,T. Crowley,"Texas A&M University, USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Thomas L. Delworth,"National Oceanographic and Atmospheric Administration (NOAA), USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,W.L. Gates,"Lawrence Livermore National Laboratory, USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,N. Graham,"University of California San Diego, USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Jonathan M. Gregory,"Met Office, United Kingdom"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,James E. Hansen,"National Aeronautics and Space Administration (NASA), USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,K. Hasselmann,"Max-Planck Institute for Meteorology, Germany"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Gabriele C. Hegerl,"Max-Planck Institute for Meteorology, Germany"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Tim Johns,"Met Office, United Kingdom"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,P. Jonas,"University of Manchester Institute of Science and Technology (UMIST), United Kingdom"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Thomas R. Karl,"National Oceanographic and Atmospheric Administration (NOAA), USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,David J. Karoly,"Monash University, Australia"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Haroon Kheshgi,"Exxon Mobil Corporation, USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Michael C. MacCracken,"Office of the US Global Change Research Program, USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Gerald A. Meehl,"National Center for Atmospheric Research (NCAR), USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,John F. B. Mitchell,"Met Office, United Kingdom"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,James M. Murphy,"Met Office, United Kingdom"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Neville Nicholls,"Bureau of Meteorology, Australia"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,G. North,"Texas A&M University, USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Michael Oppenheimer,"Environmental Defense Fund, USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Joyce E. Penner,"Lawrence Livermore National Laboratory, USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Scott B. Power,"Bureau of Meteorology, Australia"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Alan Robock,"University of Maryland, USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Catherine A. Senior,"Met Office, United Kingdom"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Karl E. Taylor,"Lawrence Livermore National Laboratory, USA"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Simon Tett,"Met Office, United Kingdom"
8,Detection of Climate Change and Attribution of Causes,Contributing Author,Francis W. Zwiers,"Environment Canada, Canada"
,,,,
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Coordinating Lead Author,J.M. Melillo,"Woods Hole Oceanographic Institution, USA"
,,,,
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Lead Author,G.D. Farquhar,"Australian National University, Australia"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Lead Author,L.C. Prentice,"Lund University, Sweden"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Lead Author,O. Sala,"Universidad de Buenos Aires, Argentina"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Lead Author,E. Schuize,"Bayreuth University, Germany"
,,,,
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,P. Bartiein,"University of Oregon, USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,F. Bazzaz,"Harvard University, USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,R. Bradshaw,"Swedish University of Agricultural Sciences, Sweden"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,K.M. Clark,"N/A, USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,Martin Claussen,"Max-Planck Institute for Meteorology, Germany"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,G. Collatz,"National Aeronautics and Space Administration (NASA), USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,M. Coughenour,"Colorado State University, USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,Christopher B. Field,"Carnegie Institute of Washington, USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,J. Foley,"James Cook University, Australia"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,A. Friend,"Institute of Terrestrial Ecology, United Kingdom"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,B. Huntley,"University of Durham, United Kingdom"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,Christian Korner,"University of Basel, Switzerland"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,Werner A. Kurz,"ESSA Ltd, Canada"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,Rik Leemans,"National Institute for Public Health and the Environment (RIVM), The Netherlands"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,J. Lloyd,"Australian National University, Australia"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,P. Martin,"European Commission, Italy"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,K. Mcnaughton,"Hort Research, New Zealand"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,A.D. McGuire,"University of Alaska, USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,Ron Neilson,"U.S. Department of Agriculture, USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,Walter Oechel,"San Diego State University, USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,Jonathan Overpeck,"National Oceanographic and Atmospheric Administration (NOAA), USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,W. Parton,"Colorado State University, USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,L.F. Pitelka,"Electric Power Research Institute (EPRI), USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,David Rind,"National Aeronautics and Space Administration (NASA), USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,Steve Running,"University of Montana, USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,David Schimel,"National Center for Atmospheric Research (NCAR), USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,T. Smith,"University of Virginia, USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,T. Webb,"Brown University, USA"
9,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,C. Whitiock,"University of Oregon, USA"
,,,,
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Coordinating Lead Author,Kenneth L. Denman,"Institute of Ocean Sciences, Canada"
,,,,
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Lead Author,E. Hofmann,"Old Dominion University, USA"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Lead Author,Harvey J. Marchant,"Department of Education,Science and Training, Australia"
,,,,
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,M. Abbott,"Oregon State University, USA"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,T. Bates,"National Oceanographic and Atmospheric Administration (NOAA), USA"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,S. Calvert,"University of British Columbia, Canada"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,M.J.R. Fasham,"James Rennell Centre (NERC), United Kingdom"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,R. Jahnke,"Skidaway Institution of Oceanography, USA"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,S. Kempe,"University of Hamburg, Germany"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,R. Lara,"Alfred Wegener Institute for Polar and Marine Research, Germany"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,P. Liss,"University of East Anglia, United Kingdom"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,A. Michaels,"Bermuda Biological Research Station, Bermuda"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,T. Pederson,"University of British Columbia, Canada"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,M. Pena,"Institute of Ocean Sciences, Canada"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,T. Piatt,"Bedford Institute of Oceanography, Canada"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,K. Van Scoy,"Plymouth Marine Laboratory, United Kingdom"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,J. Sharp,"University of Delaware, USA"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,D. Thomas,"Interuniversity Institute for Marine Sciences, Israel"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,John E. Walsh,"University of Illinois at Urbana-Champaign, USA"
10,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,Contributing Author,A. Watson,"Plymouth Marine Laboratory, United Kingdom"
,,,,
11,Advancing our Understanding,Coordinating Lead Author,Gordon McBean,"Environment Canada, Canada"
,,,,
11,Advancing our Understanding,Lead Author,P. Liss,"University of East Anglia, United Kingdom"
11,Advancing our Understanding,Lead Author,Stephen Schneider,"Stanford University, USA"
