"Group","Chapter","Role","Name","Institution/Country"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 8","Contributor","C.J.E. Schuurmans","KNMI, The Netherlands"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 8","Contributor","A. Solow","Woods Hole Oceanographic Institute, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 8","Contributor","K.E. Trenberth","National Center for Atmospheric Research, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 8","Contributor","K.Ya. Vinnikov","State Hydrological Institute, USSR"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 8","Contributor","W.M. Washington","National Center for Atmospheric Research, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 8","Contributor","D. Ye","Institute of Atmospheric Physics, Academy of Sciences, China"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 8","Contributor","T. Yasunari","University of Tsukuba, Japan"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 8","Contributor","F.W. Zwiers","Canadian Climate Center, Canada"
,,,,
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 9","Lead Author","R.A. Warrick","Climatic Research Unit, University of East Anglia, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 9","Lead Author","J. Oerlemans","Institute of Meteorology and Oceanography, The Netherlands"
,,,,
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 9","Contributor","P. Beaumont","St David's University College, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 9","Contributor","R.J. Braithwaite","Geological Survey of Greenland, Denmark"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 9","Contributor","D.J. Drewry","British Antarctic Survey, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 9","Contributor","V. Gornitz","NASA Goddard Institute for Space Studies, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 9","Contributor","J.M. Grove","University of Cambridge, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 9","Contributor","W. Haeberli","Versuchsanstalt fiir Wasserbau, Switzerland"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 9","Contributor","A. Higashi","International Christian University, Japan"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 9","Contributor","J.C. Leiva","Instituto Argentino de Nivologia y Glaciologia, Argentina"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 9","Contributor","C.S. Lingle","NASA Goddard Institute for Space Studies, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 9","Contributor","C. Lorius","Laboratoire de Glaciologie, CNRS, France"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 9","Contributor","S.C.B. Raper","Climatic Research Unit, University of East Anglia, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 9","Contributor","B. Wold","Water Resources and Energy Administration, Norway"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 9","Contributor","P.L. Woodworth","Proudman Oceanic Laboratory, UK"
,,,,
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Lead Author","J. Melillo","Woods Hole Marine Laboratory, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Lead Author","T. V. Callaghan","Institute of Terrestrial Ecology, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Lead Author","F. I. Woodward","University of Cambridge, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Lead Author","E. Salati","Universidade do Estado de Sao Paulo, Brazil"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Lead Author","S. K. Sinha","Agriculture Research Institute, India"
,,,,
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","H. Abdel Nour","General National Forests Corporation, Sudan"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","J. Aber","University of New Hampshire, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","V. Alexander","University of Alaska, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","J. Anderson","Hatherly Laboratories, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","A. Auclair","Quebec, Canada"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","F. Bazzaz","Harvard University, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","A. Breymeyer","Institute of Geography and Spatial Organization, Poland"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","A. Clarke","British Antarctic Survey, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","C. Field","Stanford University, USA"
,,,,
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","J.P. Grime","University of Sheffield, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","R. Gifford","CSIRO, Australia"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","J. Goudrian","Agricultural University, The Netherlands"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","R. Harriss","University of New Hampshire, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","I. Heany","Institute of Freshwater Ecology, Windermere Laboratory, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","P . Holligan","Plymouth Marine Laboratory, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","P. Jarvis","University of Edinburgh, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","L. Joyce","Woods Hole Research Center, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","P. Levelle","Laboratoire d'Ecologie de l'Ecole Normale, CNRS, France"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","S. Linder","University of Agricultural Sciences, Sweden"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","A. Linkins","Clarkson University, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","S. Long","University of Essex, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","A. Lugo","Institute of Tropical Forestry, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","J. McCarthy","Harvard University, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","J. Morison","University of Reading, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","W. Oechel","San Diego State University, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","M. Phillip","Institute of Plant Ecology, Denmark"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","M. Ryan","Woods Hole Research Center, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","D. Schimel","Colorado State University, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","W. Schlesinger","Duke University, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","G. Shaver","Woods Hole Research Center, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","B. Strain","Duke University, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","R. Waring","Oregon State University, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 10","Contributor","M. Williamson","York University, UK"
,,,,
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 11","Lead Author","G. McBean","University of British Columbia, Canada"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 11","Lead Author","J. McCarthy","Harvard University, USA"
,,,,
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 11","Contributor","K. Browning","Meteorological Office, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 11","Contributor","P. Morel","WMO, Switzerland"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 11","Contributor","I. Rasool","OSSA, NASA, USA"
,,,,
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Coordinator","G.J. Jenkins","Meteorological Office, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Coordinator","R.G. Derwent","Harwell Laboratory, UK"
,,,,
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","C. Bruhl","Max Plank Institute fur Chemie, FRG"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","E. Byutner","Main Geophysical Observatory, USSR"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","R.G. Derwent","Harwell Laboratory, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","I. Enting","CSIRO, Australia"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","J. Goudriaan","Wageningen Agricultural University, Netherlands"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","K. Hasselmann","Max Planck Institute fur Meteorologie, FRG"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","M. Heimann","Max Planck Institute fur Meteorologie, FRG"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","I.S.A Isaksen","University of Oslo, Norway"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","C.E. Johnson","Harwell Laboratory, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","I. Karol","Main Geophysical Observatory, USSR"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","D. Kinnison","Lawrence Livermore National Laboratory, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","A.A. Kiselev","Main Geophysical Observatory, USSR"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","K. Kurz","Max Planck Institute fur Meteorologie, FRG"
,,,,
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","T.-H. Peng","Oak Ridge National Laboratory, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","M.J. Prather","Goddard Institute for Space Studies, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","S.C.B. Raper","University of East Anglia, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","K.P. Shine","University of Reading, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","U. Siegenthaler","University of Bern, Switzerland"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","F. Stordal","University of Oslo, Norway"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","A.M. Thompson","Goddard Space Flight Center, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","D. Tirpak","Environmental Protection Agency, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","R.A. Warrick","University of East Anglia, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","T.M.L. Wigley","University of East Anglia, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","ANNEX","Model Calculations Contributor","D.J. Wuebbles","Lawrence Livermore National Laboratory, USA"
